Title,Rating,Votes,Duration,Storyline,content
Hell Jumper,8.6, (78),1h 29m,Chris Parry and friends headed to Ukraine in a white van and hooked up with a rag-tag bunch of civilian 'evacuators' to help people escape their homes. But the group's missions grew riskier and riskier.,hell jumper chris parry friend headed ukraine white van hooked ragtag bunch civilian evacuators help people escape home group mission grew riskier riskier
Heavens x Candy,6.0, (73),1h 10m,This is a pure love story of a shy guy who falls in love with an AV actor he knows through fan activities.,heaven x candy pure love story shy guy fall love av actor know fan activity
Kun bang shang tian tang,7.0, (101),1h 49m,"An exhausted woman (Ni Ni) ignited a man (Zhou You) whose heart was like a stone. They fell in love with each other and began a journey of exile in which spirit and body, life and death were tightly bound. The three places rolled around, burned, and entered hell together. The four seasons pass, love is happy, and then go to heaven.",kun bang shang tian tang exhausted woman ni ni ignited man zhou whose heart like stone fell love began journey exile spirit body life death tightly bound three place rolled around burned entered hell together four season pas love happy go heaven
Amerikánka,6.1, (128),1h 48m,"Emma, raised in a Czech institution during Soviet times, grapples with feelings about her absent mother while hoping for adoption. She imagines life in America as she processes abandonment at different ages.",ameriknka emma raised czech institution soviet time grapple feeling absent mother hoping adoption imago life america process abandonment different age
Holnap meghalok,4.0, (190),1h 25m,"Pregnant Irma retreats to their cottage in the middle of the forest. The girl is possessed by strange thoughts: she feels that she will die the next day. The date coincides with the date of his mother's death - she also died on her 34th birthday. Irma doesn't want to be alone on the upcoming anniversary, so she invites her half-brother and her best girlfriend. But more and more inexplicable events follow one another, and it's not so much a fever dream. It looks that something really will happen to Irma.",holnap meghalok pregnant irma retreat cottage middle forest girl possessed strange thought feel die next day date coincides date mother death also died birthday irma want alone upcoming anniversary invite halfbrother best girlfriend inexplicable event follow one another much fever dream look something really happen irma
A Nanny's Revenge,4.1, (189),1h 30m,"After hiring a seemingly innocuous nanny, a couple realizes she has sinister motives that threaten to destroy their family.",nanny revenge hiring seemingly innocuous nanny couple realizes sinister motif threaten destroy family
Ramnagar Bunny,6.3, (2.4K),2h 28m,"Reckless 21-year-old Bunny squanders his father's savings and juggles relationships. After a wake-up call, he faces a tough choice between love and responsibility in this Light-Hearted, emotional journey.",ramnagar bunny reckless bunny squanders father saving juggle relationship wakeup call face tough choice love responsibility lighthearted emotional journey
Tide,3.5, (160),1h 22m,"Four friends race against the tide in a bay famous for its quicksands, but a lurking threat will aggravate the situation.",tide four friend race tide bay famous quicksand lurking threat aggravate situation
Shark Beach with Anthony Mackie,6.4, (145),45m,"Anthony Mackie stars in this documentary in which sharks steal fish from fishing lines. Mackie learns of these cases from locals, but discovers that they indicate larger environmental problems in the Gulf of Mexico.",shark beach anthony mackie anthony mackie star documentary shark steal fish fishing line mackie learns case local discovers indicate larger environmental problem gulf mexico
Huggin Molly,5.8, (103),54m,"Benny goes on the search for his missing twin sister and ends up in Abbeville, a small town with dark secrets and a witch named Huggin Molly.",huggin molly benny go search missing twin sister end abbeville small town dark secret witch named huggin molly
"Anyway: The Art, the Art",4.9, (13),1h 30m,"""Anyway: the art, the art"" follows the theater group of the renowned director Stan who want to put together a play about the critical sides of the pharmaceutical industry. To support the actors' problems, Stan hires the psychotherapist Dr Franz. She is supposed to support Stan's actors and ensure that the production runs smoothly. Stan notices how she gives the team and actors the drug Zyprecs to make them addicted and to put the pharmaceutical industry in a good light. The actors gradually begin to suffer a nervous breakdown from the side effects of the medication, but the premiere is getting closer and closer. As a medical consultant, Dr Franz intervenes ever more deeply in the production processes and artistic work. In addition to power struggles and funny production ideas, the film deals with the question of how communication and art processes work among narcissistic artists. The camera follows an ensemble and connects the layers with a voice over from the director of the film and star photographer Edgar Herbst. The film shows on multiple levels how art and films are created, what happens behind the scenes and what many take for granted.",anyway art art anyway art art follows theater group renowned director stan want put together play critical side pharmaceutical industry support actor problem stan hire psychotherapist dr franz supposed support stans actor ensure production run smoothly stan notice give team actor drug zyprecs make addicted put pharmaceutical industry good light actor gradually begin suffer nervous breakdown side effect medication premiere getting closer closer medical consultant dr franz intervenes ever deeply production process artistic work addition power struggle funny production idea film deal question communication art process work among narcissistic artist camera follows ensemble connects layer voice director film star photographer edgar herbst film show multiple level art film created happens behind scene many take granted
Freediver,6.4, (183),1h 28m,"Chronicles Alexey Molchanov's daring attempt to set multiple freediving world records in 2023, paying tribute to his late mother while confronting adversity and testing the boundaries of human endurance in this extreme sport.",freediver chronicle alexey molchanovs daring attempt set multiple freediving world record paying tribute late mother confronting adversity testing boundary human endurance extreme sport
Dünya Mali: Eksi Bir,7.2, (24),2h 13m,"Vural has to work for Haluk, who betrayed his mentor Suphi. When Haluk plans to steal a priceless gospel, Vural gets his chance to avenge his mentor but he will have to face his own internal conflicts as well as everyone after the gospel.",dnya mali eksi bir vural work haluk betrayed mentor suphi haluk plan steal priceless gospel vural get chance avenge mentor face internal conflict well everyone gospel
Divorce,5.9, (891),1h 31m,"Two decades after taking separate paths in life, a former couple is working together to obtain an official Catholic church declaration of invalidity of their brief marriage.",divorce two decade taking separate path life former couple working together obtain official catholic church declaration invalidity brief marriage
Trains,7.5, (185),1h 21m,"A collective portrait of people in 20th century Europe, capturing their hopes, desires, dramas, and tragedies.",train collective portrait people century europe capturing hope desire drama tragedy
Les Pas Perdus,7.9, (19),1h 11m,6 characters in search of identities. 6 destinies that intersect in a courthouse. And one day when everything can change.,le pa perdus character search identity destiny intersect courthouse one day everything change
Bolshoe puteshestvie. Vokrug sveta,4.6, (145),1h 25m,"After two adventures, bear Mik-Mik longs for peace with his family and bees. But when a clumsy stork delivers the wrong baby again, his dreams are dashed. To make things right, Mik-Mik embarks on another wild adventure to fix the mix-up.",bolshoe puteshestvie vokrug sveta two adventure bear mikmik longs peace family bee clumsy stork delivers wrong baby dream dashed make thing right mikmik embarks another wild adventure fix mixup
