Title,Rating,Votes,Duration,Storyline
116. Thelma,7.0, (29K),1h 38m,"When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her."
117. Arcadian,5.5, (28K),1h 32m,A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the world.
118. Spaceman,5.7, (48K),1h 47m,"Half a year into his solo mission on the edge of the solar system, an astronaut concerned with the state of his life back on Earth is helped by an ancient creature he discovers in the bowels of his ship."
119. Spacewoman,8.5, (73),1h 35m,"Explores achievements of Eileen Collins, the first woman to pilot and command a spacecraft, paving the way for the next generation of female space explorers."
120. The Lord of the Rings: The War of the Rohirrim,6.3, (41K),2h 14m,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg."
121. Greedy People,6.2, (15K),1h 52m,Follows the residents of a small island town who must navigate a sensational murder and the discovery of a million dollars; a series of increasingly bad decisions upend the once peaceful community.
122. Mahavatar Narsimha,8.5, (48K),2h 10m,The demon Hiranyakashyap seeks revenge on Vishnu and declares himself a god. His son Prahlad remains devoted to Vishnu. Vishnu manifests as Narsimha to defeat the demon and restore balance.
123. Presence,6.1, (44K),1h 24m,A family becomes convinced they are not alone after moving into their new home in the suburbs.
124. Sleeping Dogs,6.2, (27K),1h 50m,"An ex-homicide detective with memory loss is forced to solve a brutal murder, only to uncover chilling secrets from his forgotten past."
125. Here,6.3, (28K),1h 44m,"A generational story about families and the special place they inhabit, sharing in love, loss, laughter, and life."
126. The Return,6.3, (15K),1h 56m,"After 20 years Odysseus finally returns to Ithaca, where he finds his wife held prisoner by suitors vying to be king and his son facing death at their hands. To win back his family and all he has lost, Odysseus must rediscover his strength."
127. Borderlands,4.7, (59K),1h 41m,"An infamous bounty hunter returns to her childhood home, the chaotic planet Pandora, and forms an unlikely alliance with a team of misfits to find the missing daughter of the most powerful man in the universe."
128. The Salt Path,6.6, (7.2K),1h 55m,A couple lose their home and later discover the husband has been diagnosed with a terminal illness as they embark on a year long coastal trek.
129. Better Man,7.5, (46K),2h 15m,"A singular profile of pop superstar Robbie Williams, chronicling his meteoric rise, dramatic fall, and remarkable resurgence."
130. Saturday Night,6.8, (39K),1h 49m,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1975)."
131. 2073,5.1, (4.6K),1h 25m,A woman living in a ruined Earth tries to comprehend how the world was destroyed.
132. The Deliverance,5.1, (25K),1h 52m,"An Indiana family discovers strange, demonic occurrences that convince them and their community that the house is a portal to hell."
133. The Assessment,6.6, (24K),1h 54m,"In the near future where parenthood is strictly controlled, a couple's seven-day assessment for the right to have a child unravels into a psychological nightmare."
134. Elevation,5.7, (31K),1h 31m,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.
135. Red One,6.2, (160K),2h 3m,"After Santa Claus is kidnapped, the North Pole's Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas."
136. Killer Heat,5.6, (16K),1h 35m,"Follows twin brothers who find themselves in a dangerous love triangle on an isolated Greek island. The investigation is given to ""The Jealousy Man,"" a wounded detective."
137. Monkey Man,6.8, (100K),2h 1m,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systematically victimize the poor and powerless.
138. Lisa Frankenstein,6.1, (33K),1h 41m,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love, happiness - and a few missing body parts."
139. My Old Ass,6.9, (48K),1h 29m,"A mushroom trip brings free-spirited Elliott face-to-face with her 39-year-old self. But when Elliott's ""old ass"" delivers warnings to her younger self, Elliott realizes she has to rethink everything about her family, life and love."
140. Mon Potongo,4.9, (1.1K),2h 29m,"Two young outcasts from different faiths dream of owning a luxury armchair they see in a store window. Working as laborers in the big city, they fight against social barriers and poverty to make their shared dream come true."
141. No Other Land,8.2, (49K),1h 32m,This film made by a Palestinian-Israeli collective shows the destruction of the occupied West Bank's Masafer Yatta by Israeli soldiers and the alliance which develops between the Palestinian activist Basel and Israeli journalist Yuval.
142. Last Night on Earth,4.7, (813),1h 26m,"Faced with impending doom from a planet-killing asteroid, a couple flee to the hills of Tennessee to spend their last days together - but the chaotic breakdown of society disrupts their peaceful plans."
143. Atlas,5.7, (60K),1h 58m,"In a bleak-sounding future, an A.I. soldier has determined that the only way to end war is to end humanity."
144. Fight or Flight,6.4, (27K),1h 42m,A mercenary takes on the job of tracking down a target on a plane but must protect that target when they're surrounded by people trying to kill both of them.
145. On Swift Horses,6.0, (6.5K),1h 59m,"Muriel and her husband Lee are about to begin a bright new life, which is upended by the arrival of Lee's brother. Muriel embarks on a secret life, gambling on racehorses and discovering a love she never thought possible."
146. Freaky Tales,6.2, (18K),1h 47m,"Four interconnected stories set in 1987 Oakland, CA. will tell about the love of music, movies, people, places and memories beyond our knowable universe."
147. Paddington in Peru,6.6, (36K),1h 46m,"Paddington returns to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey."
148. The Strangers' Case,8.2, (13K),1h 43m,"Five strangers are pulled together, colliding on a single night where survival is uncertain."
149. Amber Alert,6.1, (8.3K),1h 30m,A ride-share turns into a high-stakes game of cat and mouse after it follows a car fitting the description of an AMBER ALERT.
150. Drive-Away Dolls,5.4, (29K),1h 24m,"Jamie regrets her breakup with her girlfriend, while Marian needs to relax. In search of a fresh start, they embark on an unexpected road trip to Tallahassee. Things quickly go awry when they cross paths with a group of inept criminals."
151. Stree 2,6.9, (47K),2h 27m,"After the events of Stree, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it's up to Vicky and his friends to save their town and loved ones."
152. The Penguin Lessons,7.1, (12K),1h 51m,A disillusioned Englishman who goes to work in a school in a divided Argentina in 1976 finds his life transformed when he rescues an orphaned penguin from the beach.
